Carrera,Grupo,Clave,Materia,CRN,Profesor,Dia,Hora inicio,Hora Fin,Aula,Modalidad
Abogado,4B,IC895,DERECHO COLECTIVO DEL TRABAJO,158435,BUENROSTRO ROBLES PEDRO,LUNES,8,10,A13,HIBRIDA
Abogado,4B,IC885,DERECHO CONSTITUCIONAL II,158437,HURTADO LOPEZ IRMA VERONICA,LUNES,10,12,C6,HIBRIDA
Abogado,4B,IC909,ESTUDIO DE CASO DE INSTITUCIONES JURIDICAS IV,158720,LIZAOLA ZEPEDA GRACIELA GUADALUPE,LUNES,12,14,C2,TOTAL PRESENCIAL
Abogado,4B,IC874,DERECHO MERCANTIL II,158439,AHUMADA GONZALEZ APOLONIO,LUNES,20,21,EL23,HIBRIDA
Abogado,4B,IC906,TEORIA DEL ACTO ADMINISTRATIVO,151191,LOZA URIBE YARIELA ESTHER DE MONSERRAT,MARTES,10,12,AUD2,
Abogado,4B,IC901,DERECHO PENAL II,158441,LIZAOLA ZEPEDA GRACIELA GUADALUPE,MARTES,12,14,AUD2,HIBRIDA
Abogado,4B,IC867,LENGUA EXTRANJERA ESPECIALIZADA I,158738,FONSECA DIAZ RICARDO,MARTES,14,16,C9,TOTAL PRESENCIAL
Abogado,4B,IC901,DERECHO PENAL II,158441,LIZAOLA ZEPEDA GRACIELA GUADALUPE,MIERCOLES,18,20,EL93,HIBRIDA
Abogado,4B,REC01,RECREACION Y APROVECHAMIENTO,,,JUEVES,8,10,AULA-RECREACION-6,
Abogado,4B,IC858,FILOSOFIA DEL DERECHO,158725,CORTES JOSE GILBERTO,JUEVES,10,12,B11,HIBRIDA
Abogado,4B,IC874,DERECHO MERCANTIL II,158439,AHUMADA GONZALEZ APOLONIO,JUEVES,12,14,AUD2,HIBRIDA
Abogado,4B,IC882,DERECHO CIVIL III,158433,LIZAOLA ZEPEDA GRACIELA GUADALUPE,JUEVES,14,16,B14,HIBRIDA
Abogado,4B,IC895,DERECHO COLECTIVO DEL TRABAJO,158435,BUENROSTRO ROBLES PEDRO,JUEVES,18,19,EL96,HIBRIDA
Abogado,4B,IC906,TEORIA DEL ACTO ADMINISTRATIVO,151191,LOZA URIBE YARIELA ESTHER DE MONSERRAT,VIERNES,18,19,EL98,
